epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,861.604,0.99921,1.80249,0.00304,0.64032,0.76081,0.7506,0.56807,0.78819,1.29351,0.00153,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873
31,890.63,1.01594,1.85116,0.00428,0.66822,0.75259,0.74895,0.5601,0.77588,1.27323,0.00148,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
32,919.72,1.02114,1.75733,0.00329,0.60881,0.70079,0.69514,0.52245,0.82704,1.47645,0.00155,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044
33,948.358,1.03813,1.78247,0.0041,0.63749,0.6886,0.68944,0.51457,0.78722,1.54124,0.00153,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
34,977.674,0.9797,1.6081,0.00349,0.69566,0.76889,0.77997,0.58755,0.77606,1.15759,0.00157,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146
35,1007.01,1.01203,1.63979,0.0036,0.69632,0.74046,0.73189,0.53117,0.80542,1.3919,0.00157,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
36,1035.31,0.96974,1.58031,0.00363,0.70658,0.83007,0.8067,0.61168,0.73394,1.0921,0.00147,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851
37,1063.72,0.98048,1.48638,0.00367,0.68974,0.79076,0.83087,0.62489,0.76779,1.093,0.00143,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
38,1091.44,1.0192,1.45985,0.00377,0.74853,0.77073,0.83241,0.63131,0.75252,1.0728,0.00146,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557
39,1118.09,0.99108,1.40611,0.00348,0.82332,0.7044,0.82067,0.62772,0.72444,1.12257,0.00132,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
40,1145.21,0.96487,1.41901,0.00374,0.8088,0.7265,0.84744,0.65858,0.71805,0.99764,0.00136,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263
41,1171.75,0.95183,1.30598,0.00365,0.77327,0.77083,0.86104,0.67123,0.69797,0.94629,0.00133,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
42,1197.82,0.96549,1.34905,0.00332,0.83599,0.7814,0.8717,0.69325,0.69316,0.91094,0.00134,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969
43,1224.4,0.94224,1.26272,0.00342,0.8826,0.75749,0.89995,0.7224,0.70264,0.79952,0.00138,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
44,1251.92,0.98401,1.27714,0.00336,0.79588,0.83018,0.88035,0.68577,0.70499,0.99589,0.00137,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675
45,1277.93,0.99701,1.23105,0.00431,0.89042,0.82506,0.9179,0.74914,0.68666,0.72332,0.00135,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
46,1304.08,0.93368,1.18367,0.0034,0.78001,0.81059,0.86869,0.6691,0.6671,0.9972,0.00133,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238
