epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.14767,3.02925,4.79447,0.00908,0,0,0,0,4.37916,3.73369,0.01131,0.00015,0.00015,0.08515
2,14.0113,2.61638,3.91706,0.00714,0,0,0,0,3.38406,3.6587,0.00867,0.000307954,0.000307954,0.069308
3,20.4252,2.60118,3.50953,0.00653,0.0989,0.12162,0.07978,0.03113,3.00253,3.68147,0.00666,0.000463796,0.000463796,0.0534638
4,26.0797,2.38453,3.1339,0.00652,0.0565,0.60915,0.16079,0.08113,2.2177,3.24198,0.00455,0.000617526,0.000617526,0.0376175
5,31.8639,2.39411,2.89985,0.00607,0.04713,0.79678,0.41435,0.1918,2.0738,2.6147,0.00447,0.000769144,0.000769144,0.0217691
6,37.6454,2.24864,2.69121,0.00512,0.13084,0.75624,0.29494,0.12979,1.75954,2.48855,0.00368,0.00091865,0.00091865,0.00591865
7,46.8817,2.2105,2.62593,0.0051,0.34356,0.26143,0.3508,0.17567,1.70318,2.21698,0.00361,0.0009604,0.0009604,0.0009604
8,59.6419,2.26169,2.64243,0.005,0.71466,0.26351,0.31657,0.17299,1.76051,2.29877,0.00361,0.0009538,0.0009538,0.0009538
9,68.8591,2.18627,2.59376,0.00557,0.29964,0.36123,0.30761,0.19033,1.73289,2.20286,0.00363,0.0009472,0.0009472,0.0009472
